,  time,  frame,  subF,  1stSym,  symbol#,  cellId,  rnti,  ccId,  tbSize,  mcs,  rv,  SINR(dB),  corrupt,  TBler,Time, UE, CurXPos, CurYPos, CurZPos, CurXVel, CurYVel, CurZVel, CalcClosestENB, CalcClosestEnbDist, enbX, enbY, enbZ,CQI
DL, 0.00400832, 4, 0, 1, 1, 1, 1, 0, 120, 4, 0, -0.933249, 0, 7.84972e-09,0.01,0,99.1494,15.4586,27.8635,-6.59438,-3.85611,0.0376894,0,104.144,0,0,0,NA
DL, 0.0233915, 23, 3, 1, 21, 1, 1, 0, 1079, 0, 0, -0.473087, 0, 0,0.03,0,99.0175,15.3815,27.8643,-6.59438,-3.85611,0.0376894,0,104.007,0,0,0,3
DL, 0.0313416, 31, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -1.91327, 0, 3.56329e-09,0.04,0,98.9516,15.3429,27.8647,-6.59438,-3.85611,0.0376894,0,103.939,0,0,0,NA
DL, 0.0413291, 41, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.376265, 0, 0.000297559,0.05,0,98.8857,15.3044,27.865,-6.59438,-3.85611,0.0376894,0,103.87,0,0,0,3
DL, 0.0513291, 51, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.405565, 0, 0,0.06,0,98.8197,15.2658,27.8654,-6.59438,-3.85611,0.0376894,0,103.802,0,0,0,3
DL, 0.0613416, 61, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.818657, 0, 0,0.07,0,98.7538,15.2272,27.8658,-6.59438,-3.85611,0.0376894,0,103.734,0,0,0,4
DL, 0.0713416, 71, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.21633, 0, 0.016324,0.08,0,98.6878,15.1887,27.8662,-6.59438,-3.85611,0.0376894,0,103.665,0,0,0,4
DL, 0.0813291, 81, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.967999, 0, 0.134356,0.09,0,98.6219,15.1501,27.8665,-6.59438,-3.85611,0.0376894,0,103.597,0,0,0,3
DL, 0.0913291, 91, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.142528, 0, 2.81486e-12,0.1,0,98.5559,15.1116,27.8669,-6.59438,-3.85611,0.0376894,0,103.529,0,0,0,3
DL, 0.101329, 101, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.0854949, 1, 0.868782,0.11,0,98.49,15.073,27.8673,-6.59438,-3.85611,0.0376894,0,103.46,0,0,0,4
DL, 0.111342, 111, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.64327, 0, 0,0.12,0,98.4241,15.0344,27.8677,-6.59438,-3.85611,0.0376894,0,103.392,0,0,0,4
DL, 0.121371, 121, 3, 1, 16, 1, 1, 0, 1131, 2, 0, -2.29098, 0, 0,0.13,0,98.3581,14.9959,27.868,-6.59438,-3.85611,0.0376894,0,103.324,0,0,0,4
DL, 0.131342, 131, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.12559, 0, 0.00146022,0.14,0,98.2922,14.9573,27.8684,-6.59438,-3.85611,0.0376894,0,103.256,0,0,0,3
DL, 0.141329, 141, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.491677, 1, 0.966409,0.15,0,98.2262,14.9188,27.8688,-6.59438,-3.85611,0.0376894,0,103.187,0,0,0,2
DL, 0.151329, 151, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.0827637, 0, 0.00206089,0.16,0,98.1603,14.8802,27.8692,-6.59438,-3.85611,0.0376894,0,103.119,0,0,0,3
DL, 0.161342, 161, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -1.43505, 0, 0,0.17,0,98.0943,14.8416,27.8696,-6.59438,-3.85611,0.0376894,0,103.051,0,0,0,4
DL, 0.171342, 171, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.60232, 0, 3.88224e-07,0.18,0,98.0284,14.8031,27.8699,-6.59438,-3.85611,0.0376894,0,102.983,0,0,0,4
DL, 0.181329, 181, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -1.18645, 1, 1,0.19,0,97.9624,14.7645,27.8703,-6.59438,-3.85611,0.0376894,0,102.914,0,0,0,3
DL, 0.191342, 191, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.020202, 0, 0,0.2,0,97.8965,14.7259,27.8707,-6.59438,-3.85611,0.0376894,0,102.846,0,0,0,3
DL, 0.201342, 201, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.24964, 0, 2.14011e-05,0.21,0,97.8306,14.6874,27.8711,-6.59438,-3.85611,0.0376894,0,102.778,0,0,0,4
DL, 0.211342, 211, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.00866, 0, 7.50511e-14,0.22,0,97.7646,14.6488,27.8714,-6.59438,-3.85611,0.0376894,0,102.71,0,0,0,3
DL, 0.221342, 221, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.1597, 0, 1.43697e-09,0.23,0,97.6987,14.6103,27.8718,-6.59438,-3.85611,0.0376894,0,102.642,0,0,0,3
DL, 0.231342, 231, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.34514, 0, 0.000377323,0.24,0,97.6327,14.5717,27.8722,-6.59438,-3.85611,0.0376894,0,102.574,0,0,0,3
DL, 0.241342, 241, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.30247, 0, 1.06646e-06,0.25,0,97.5668,14.5331,27.8726,-6.59438,-3.85611,0.0376894,0,102.505,0,0,0,3
DL, 0.251342, 251, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.08239, 0, 6.35647e-12,0.26,0,97.5008,14.4946,27.8729,-6.59438,-3.85611,0.0376894,0,102.437,0,0,0,3
DL, 0.261342, 261, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -1.9693, 0, 6.10623e-13,0.27,0,97.4349,14.456,27.8733,-6.59438,-3.85611,0.0376894,0,102.369,0,0,0,3
DL, 0.271342, 271, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.2493, 0, 1.41471e-08,0.28,0,97.369,14.4175,27.8737,-6.59438,-3.85611,0.0376894,0,102.301,0,0,0,3
DL, 0.281342, 281, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.32812, 0, 1.01718e-05,0.29,0,97.303,14.3789,27.8741,-6.59438,-3.85611,0.0376894,0,102.233,0,0,0,3
DL, 0.291342, 291, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.09844, 0, 1.69726e-11,0.3,0,97.2371,14.3403,27.8745,-6.59438,-3.85611,0.0376894,0,102.165,0,0,0,3
DL, 0.301329, 301, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.903187, 0, 0,0.31,0,97.1711,14.3018,27.8748,-6.59438,-3.85611,0.0376894,0,102.097,0,0,0,3
DL, 0.311329, 311, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.644455, 0, 5.55074e-10,0.32,0,97.1052,14.2632,27.8752,-6.59438,-3.85611,0.0376894,0,102.029,0,0,0,3
DL, 0.321329, 321, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.202897, 0, 7.70242e-07,0.33,0,97.0392,14.2247,27.8756,-6.59438,-3.85611,0.0376894,0,101.961,0,0,0,4
DL, 0.331329, 331, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.156129, 0, 1.72971e-11,0.34,0,96.9733,14.1861,27.876,-6.59438,-3.85611,0.0376894,0,101.893,0,0,0,4
DL, 0.341342, 341, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -1.03319, 0, 0,0.35,0,96.9073,14.1475,27.8763,-6.59438,-3.85611,0.0376894,0,101.825,0,0,0,4
DL, 0.351329, 351, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.380244, 0, 0.0801657,0.36,0,96.8414,14.109,27.8767,-6.59438,-3.85611,0.0376894,0,101.757,0,0,0,4
DL, 0.361329, 361, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.131067, 0, 0.00349341,0.37,0,96.7755,14.0704,27.8771,-6.59438,-3.85611,0.0376894,0,101.689,0,0,0,3
DL, 0.371329, 371, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.0923758, 0, 1.43219e-13,0.38,0,96.7095,14.0318,27.8775,-6.59438,-3.85611,0.0376894,0,101.621,0,0,0,4
DL, 0.381329, 381, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.235217, 0, 0,0.39,0,96.6436,13.9933,27.8778,-6.59438,-3.85611,0.0376894,0,101.553,0,0,0,4
DL, 0.391342, 391, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.975771, 0, 0,0.4,0,96.5776,13.9547,27.8782,-6.59438,-3.85611,0.0376894,0,101.485,0,0,0,4
DL, 0.401329, 401, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.365616, 0, 2.31708e-08,0.41,0,96.5117,13.9162,27.8786,-6.59438,-3.85611,0.0376894,0,101.417,0,0,0,4
DL, 0.411329, 411, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.363102, 0, 0.424046,0.42,0,96.4457,13.8776,27.879,-6.59438,-3.85611,0.0376894,0,101.349,0,0,0,3
DL, 0.421329, 421, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 1.05401, 0, 0,0.43,0,96.3798,13.839,27.8794,-6.59438,-3.85611,0.0376894,0,101.281,0,0,0,4
DL, 0.431329, 431, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 1.31072, 0, 0,0.44,0,96.3139,13.8005,27.8797,-6.59438,-3.85611,0.0376894,0,101.213,0,0,0,4
DL, 0.441342, 441, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -1.50933, 0, 0,0.45,0,96.2479,13.7619,27.8801,-6.59438,-3.85611,0.0376894,0,101.145,0,0,0,4
DL, 0.451329, 451, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.950205, 0, 0,0.46,0,96.182,13.7234,27.8805,-6.59438,-3.85611,0.0376894,0,101.077,0,0,0,4
DL, 0.461329, 461, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 1.40172, 0, 0,0.47,0,96.116,13.6848,27.8809,-6.59438,-3.85611,0.0376894,0,101.009,0,0,0,3
DL, 0.471342, 471, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.523953, 0, 0,0.48,0,96.0501,13.6462,27.8812,-6.59438,-3.85611,0.0376894,0,100.942,0,0,0,4
DL, 0.481342, 481, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.592121, 0, 0,0.49,0,95.9841,13.6077,27.8816,-6.59438,-3.85611,0.0376894,0,100.874,0,0,0,4
DL, 0.491342, 491, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -1.30898, 0, 0,0.5,0,95.9182,13.5691,27.882,-6.59438,-3.85611,0.0376894,0,100.806,0,0,0,3
DL, 0.501329, 501, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.168723, 0, 1.24003e-08,0.51,0,95.8409,13.5632,27.8824,-7.73034,-0.594284,0.0388614,0,100.732,0,0,0,3
DL, 0.511321, 511, 3, 1, 4, 1, 1, 0, 1131, 8, 0, 2.04747, 0, 0.00354952,0.52,0,95.7636,13.5572,27.8828,-7.73034,-0.594284,0.0388614,0,100.657,0,0,0,3
DL, 0.521329, 521, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 1.496, 0, 0,0.53,0,95.6863,13.5513,27.8832,-7.73034,-0.594284,0.0388614,0,100.583,0,0,0,4
DL, 0.531329, 531, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.643923, 0, 0,0.54,0,95.609,13.5453,27.8835,-7.73034,-0.594284,0.0388614,0,100.509,0,0,0,5
DL, 0.541342, 541, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.887717, 0, 0,0.55,0,95.5317,13.5394,27.8839,-7.73034,-0.594284,0.0388614,0,100.435,0,0,0,4
DL, 0.551329, 551, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -0.0192517, 0, 0.0030892,0.56,0,95.4544,13.5335,27.8843,-7.73034,-0.594284,0.0388614,0,100.36,0,0,0,4
DL, 0.561329, 561, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.57078, 0, 0,0.57,0,95.3771,13.5275,27.8847,-7.73034,-0.594284,0.0388614,0,100.286,0,0,0,3
DL, 0.571342, 571, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.664938, 0, 0,0.58,0,95.2998,13.5216,27.8851,-7.73034,-0.594284,0.0388614,0,100.212,0,0,0,4
DL, 0.581329, 581, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.924635, 0, 0,0.59,0,95.2225,13.5156,27.8855,-7.73034,-0.594284,0.0388614,0,100.138,0,0,0,4
DL, 0.591342, 591, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.445744, 0, 0,0.6,0,95.1452,13.5097,27.8859,-7.73034,-0.594284,0.0388614,0,100.064,0,0,0,3
DL, 0.610692, 610, 6, 1, 21, 1, 1, 0, 1079, 0, 0, -7.87621, 1, 1,0.61,0,95.0679,13.5037,27.8863,-7.73034,-0.594284,0.0388614,0,99.9895,0,0,0,4
DL, 0.621196, 621, 1, 1, 22, 1, 1, 0, 1131, 0, 0, -7.75859, 1, 1,0.63,0,94.9132,13.4919,27.887,-7.73034,-0.594284,0.0388614,0,99.8411,0,0,0,3
DL, 0.631596, 631, 5, 1, 22, 1, 1, 0, 1131, 0, 0, -7.94241, 1, 1,0.64,0,94.8359,13.4859,27.8874,-7.73034,-0.594284,0.0388614,0,99.7669,0,0,0,0
DL, 0.642096, 642, 0, 1, 22, 1, 1, 0, 1131, 0, 0, -7.70256, 1, 1,0.65,0,94.7586,13.48,27.8878,-7.73034,-0.594284,0.0388614,0,99.6927,0,0,0,0
DL, 0.652596, 652, 5, 1, 22, 1, 1, 0, 1131, 0, 0, -7.5341, 1, 0.99988,0.66,0,94.6813,13.474,27.8882,-7.73034,-0.594284,0.0388614,0,99.6186,0,0,0,0
DL, 0.663096, 663, 0, 1, 22, 1, 1, 0, 1131, 0, 0, -8.03541, 1, 1,0.67,0,94.604,13.4681,27.8886,-7.73034,-0.594284,0.0388614,0,99.5444,0,0,0,0
DL, 0.673596, 673, 5, 1, 22, 1, 1, 0, 1131, 0, 0, -7.82872, 1, 1,0.68,0,94.5267,13.4621,27.889,-7.73034,-0.594284,0.0388614,0,99.4702,0,0,0,0
DL, 0.684096, 684, 0, 1, 22, 1, 1, 0, 1131, 0, 0, -7.47814, 1, 0.999926,0.69,0,94.4494,13.4562,27.8894,-7.73034,-0.594284,0.0388614,0,99.3961,0,0,0,0
DL, 0.694596, 694, 5, 1, 22, 1, 1, 0, 1131, 0, 0, -7.81338, 1, 1,0.7,0,94.3721,13.4503,27.8898,-7.73034,-0.594284,0.0388614,0,99.3219,0,0,0,0
DL, 0.705096, 705, 0, 1, 22, 1, 1, 0, 1131, 0, 0, -0.509339, 0, 0,0.71,0,94.2948,13.4443,27.8901,-7.73034,-0.594284,0.0388614,0,99.2478,0,0,0,0
DL, 0.711329, 711, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.340402, 0, 0,0.72,0,94.2175,13.4384,27.8905,-7.73034,-0.594284,0.0388614,0,99.1736,0,0,0,0
DL, 0.721342, 721, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -3.03924, 0, 0.1015,0.73,0,94.1402,13.4324,27.8909,-7.73034,-0.594284,0.0388614,0,99.0995,0,0,0,0
DL, 0.731371, 731, 3, 1, 16, 1, 1, 0, 1131, 2, 0, -3.2331, 0, 0,0.74,0,94.0629,13.4265,27.8913,-7.73034,-0.594284,0.0388614,0,99.0254,0,0,0,4
DL, 0.741329, 741, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.326519, 0, 0,0.75,0,93.9856,13.4205,27.8917,-7.73034,-0.594284,0.0388614,0,98.9513,0,0,0,4
DL, 0.751342, 751, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -1.76542, 0, 0,0.76,0,93.9083,13.4146,27.8921,-7.73034,-0.594284,0.0388614,0,98.8771,0,0,0,3
DL, 0.761371, 761, 3, 1, 16, 1, 1, 0, 1131, 2, 0, -4.35663, 0, 0,0.77,0,93.831,13.4087,27.8925,-7.73034,-0.594284,0.0388614,0,98.803,0,0,0,2
